,product,value,customer
1126,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 272.0252261069808, 253.01601183589494, 118.35782439901915, 18.210682594912296]",400236
1127,"['31047464', '31047450']","[52.34917005095697, 36.52506843159224]",168750
1128,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",392084
1129,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",750184
1130,"['36298220', '36298206', '34798386', '36298381', '34130894']","[876.9585324254264, 689.2502796946033, 161.6051524421832, 136.19829275876663, 49.40063491208645]",71985
1131,"['32078802', '32078795', '32842551', '32078970', '31618475', '32988382', '32078935', '34129942']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 272.0252261069808, 253.01601183589494, 69.07445737837183, 18.210682594912296]",200694
1132,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",148271
1133,"['32078802', '32078795', '32842551', '32078970', '32078935', '31047450']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183, 36.52506843159224]",278170
1134,['31047450'],[36.52506843159224],18690
1135,"['32078802', '32842551', '32078970', '32078935', '32078795']","[1081.368219757816, 336.74698368175575, 285.8383722766826, 69.07445737837183, 24.68169239602989]",709633
1136,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",32568
1137,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",746799
1138,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",417403
1139,['32078795'],[24.68169239602989],621331
1140,['31047450'],[36.52506843159224],489498
1141,"['31047464', '31047450']","[52.34917005095697, 36.52506843159224]",802545
1142,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",783152
1143,['31047450'],[36.52506843159224],309283
1144,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",17395
1145,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",104774
1146,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",748608
1147,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",446379
1148,"['36298416', '36298395', '36298381', '36298122', '31047450', '31047464']","[2275.933141867629, 2099.3794220461164, 678.9605673147175, 159.24688011896038, 73.77258451199832, 52.34917005095697]",485360
1149,"['31618321', '31618475', '34129942', '31618405', '32988382']","[945.1447404429092, 737.4983489619906, 148.9027885253545, 118.35782439901915, 88.98763597402909]",555837
1150,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",412369
1151,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",583614
1152,"['32078802', '32078795', '32842551', '32078970', '31047450', '32078935', '31047464']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 73.77258451199832, 69.07445737837183, 52.34917005095697]",677828
1153,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",44291
1154,['32078970'],[22.946484874586204],728141
1155,"['32078802', '32078795', '32842551', '32078970', '32079082', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 105.54651171459584, 81.51421243336533, 3.8743391493146437]",809933
1156,"['34798386', '31047450', '31047464', '34130894']","[161.6051524421832, 73.77258451199832, 52.34917005095697, 49.40063491208645]",794783
1157,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",435995
1158,"['31618321', '36298220', '31618475', '36298206', '34129942', '36298381', '31618405', '32988382']","[945.1447404429092, 876.9585324254264, 737.4983489619906, 689.2502796946033, 148.9027885253545, 136.19829275876663, 118.35782439901915, 88.98763597402909]",200967
1159,"['31618321', '31618475', '32988382', '34129942', '31618405']","[945.1447404429092, 737.4983489619906, 498.5654932260181, 148.9027885253545, 118.35782439901915]",309697
1160,"['32078802', '32078795', '32842551', '32079082', '32078970', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 81.51421243336533, 22.946484874586204, 3.8743391493146437]",306947
1161,"['32078802', '32078970', '31618475', '32078795', '32842551', '32988382']","[1426.2324657128029, 829.881066034175, 272.0252261069808, 256.8448607981492, 254.71926128307788, 253.01601183589494]",412032
1162,['32988382'],[88.98763597402909],385991
1163,"['32078802', '31618321', '31618475', '32988382', '32842551', '34129942', '31618405', '32078970', '32079082', '32078795', '32078935']","[1076.2166746635708, 945.1447404429092, 737.4983489619906, 498.5654932260181, 399.58008649397294, 148.9027885253545, 118.35782439901915, 105.54651171459584, 81.51421243336533, 24.68169239602989, 3.8743391493146437]",804582
1164,"['34798386', '34130894', '32078970']","[161.6051524421832, 49.40063491208645, 22.946484874586204]",26347
1165,"['31618321', '31618475', '32988382', '31618405', '34129942']","[945.1447404429092, 297.6178852695093, 253.0349200847682, 118.35782439901915, 18.210682594912296]",782295
1166,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",745596
1167,"['31618321', '31618475', '34129942', '31618405', '32988382']","[945.1447404429092, 737.4983489619906, 148.9027885253545, 118.35782439901915, 88.98763597402909]",155916
1168,"['36298416', '36298395', '36298381', '36298122']","[2275.933141867629, 2099.3794220461164, 678.9605673147175, 159.24688011896038]",45413
1169,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",807526
1170,"['32078802', '32078795', '32842551', '31618475', '32988382', '32078970', '32079082', '34129942', '32078935']","[1076.2166746635708, 453.14981443563715, 399.58008649397294, 272.0252261069808, 253.01601183589494, 105.54651171459584, 81.51421243336533, 18.210682594912296, 3.8743391493146437]",732939
1171,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",788119
1172,"['32078802', '32078970', '32078795', '32842551']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788]",457116
