,product,value,customer
166,"['31618321', '36298381', '31618475', '32988382', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 283.57762730470984, 222.9675327068517, 209.9403676644521, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",467093
167,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",408216
168,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",628259
169,"['32988382', '31618475', '34129942']","[132.63339987139267, 89.84182140016723, 13.078840080548325]",870758
170,"['32988382', '31618475', '35609273', '35609252', '34129942']","[132.63339987139267, 89.84182140016723, 85.28509666770042, 34.788990684693694, 13.078840080548325]",85885
171,"['32078795', '32842551', '32078935', '32078970']","[215.5980103587207, 179.63390130187565, 46.630957100973724, 19.940030652670576]",468887
172,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",447486
173,"['31618321', '32988382', '31618475', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",577124
174,"['32988382', '31618475']","[132.63339987139267, 89.84182140016723]",621694
175,"['31618321', '32988382', '31618475', '35609273', '35609252', '31618405', '34129942']","[410.0400223199819, 142.63741178984728, 98.74240426637577, 85.28509666770042, 34.788990684693694, 33.91712771021427, 13.078840080548325]",609611
176,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",511194
177,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",150913
178,"['32988382', '31618475', '34129942']","[132.63339987139267, 89.84182140016723, 13.078840080548325]",436048
179,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",761556
180,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 142.63741178984728, 98.74240426637577, 33.91712771021427, 13.078840080548325]",34680
181,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",559560
182,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",780963
183,"['32842551', '32078970', '32078795', '32079082', '32078935']","[182.36516456806467, 62.622532437596284, 40.017786856513304, 11.309078758771438, 1.8983611955475592]",216101
184,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",57464
185,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",139382
186,"['32988382', '31618475', '32078970', '34129942']","[132.63339987139267, 89.84182140016723, 19.940030652670576, 13.078840080548325]",81585
187,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",629034
188,['36298381'],[283.57762730470984],514972
189,"['32078795', '32842551', '35609273', '32078970', '35609252', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 85.28509666770042, 62.622532437596284, 34.788990684693694, 11.309078758771438, 1.8983611955475592]",222993
190,"['31047450', '31047464']","[50.04485816878652, 40.49780994595678]",300728
191,"['32988382', '31618475', '35609273', '35609252']","[132.63339987139267, 89.84182140016723, 85.28509666770042, 34.788990684693694]",608552
192,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",487557
193,"['36298381', '31047450', '31047464']","[283.57762730470984, 50.04485816878652, 40.49780994595678]",198763
194,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",97386
195,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",444553
196,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",563016
197,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",449583
198,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",259812
199,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",509545
